icd10;text
Q33.3;Niewytworzenie płuca
Q33.4;Wrodzone rozstrzenie oskrzeli
Q33.5;Tkanka ektopiczna w płucach
Q33.6;Niedorozwój lub dysplazja płuca
Q33.8;Inne wrodzone wady rozwojowe płuc
Q33.9;Wrodzona wada rozwojowa płuca, nieokreślona
Q34.0;Wada opłucnej
Q34.1;Wrodzona torbiel śródpiersia
Q34.8;Inne określone wady rozwojowe układu oddechowego
Q34.9;Wrodzona wada rozwojowa układu oddechowego, nieokreślona
Q60.0;Agenezja nerki, jednostronna
Q60.1;Agenezja nerki, obustronna
Q60.2;Agenezja nerki, nieokreślona
Q60.3;Niedorozwój nerki, jednostronny
Q60.4;Niedorozwój nerki, obustronny
Q60.5;Niedorozwój nerek, nieokreślony
Q60.6;Zespół Pottera
Q61.0;Wrodzona torbiel nerki
Q61.1;Wielotorbielowatość nerek, typu dziecięcego
Q61.2;Wielotorbielowatość nerek, typu dorosłego
Q61.3;Wielotorbielowatość nerek, nieokreślona
Q61.4;Dysplazja nerek
Q61.6;Rdzeniowa torbielowatość nerek
Q61.8;Inne torbielowate choroby nerek
Q61.9;Choroba torbielowata nerek, nieokreślona
Q62.0;Wrodzone wodonercze
Q62.1;Zarośnięcie lub zwężenie moczowodu
Q62.2;Wrodzony moczowód olbrzymi
Q62.3;Inne wady miedniczki nerkowej i moczowodu z zastojem moczu
Q62.4;Niewykształcenie moczowodu
Q62.5;Zdwojenie moczowodu
Q62.6;Nieprawidłowe położenie moczowodu
Q62.7;Wrodzony odpływ pęcherzowo-moczowodowo-nerkowy
Q62.8;Inne wrodzone wady rozwojowe moczowodu
Q63.0;Nerka dodatkowa
Q63.1;Nerka płatowata, podkowiasta lub złączenie nerek
Q63.2;Nerka przemieszczona (ektopowa)
Q63.3;Nerka olbrzymia lub hyperplastyczna
Q63.8;Inna określona wada rozwojowa nerki
Q63.9;Wrodzona wada rozwojowa nerki, nieokreślona
Q64.0;Wierzchniactwo
Q64.1;Wynicowanie pęcherza moczowego
Q64.2;Wrodzona zastawka cewki tylnej
R93.1;Nieprawidłowe wyniki badań obrazowych serca i krążenia wieńcowego
R94.3;Nieprawidłowe wyniki badań czynnościowych serca i naczyń
R94.4;Nieprawidłowe wyniki badań czynnościowych nerek
R94.5;Nieprawidłowe wyniki badań czynnościowych wątroby
R94.6;Nieprawidłowe wyniki badań czynnościowych tarczycy
R00.0;Tachykardia, nieokreślona
R00.1;Bradykardia, nieokreślona
R00.2;KOLATANIE serca uczucie bicia serca
R00.8;Inne i nieokreślone zaburzenia bicia serca
R01.0;Szmery serca niewinne i przygodne
R01.1;Szmer serca, nieokreślony
R01.2;Inne zjawiska osłuchowe w okolicy serca
R03.0;Podwyższone ciśnienie tętnicze krwi, bez rozpoznanego nadciśnienia tętniczego
R03.1;Nie określone niskie ciśnienie tętnicze krwi
R06.8;Inne i nieokreślone zaburzenia oddychania
R07.1;Ból w klatce piersiowej podczas oddychania
R07.2;Ból w okolicy przedsercowej
R73.9;Hiperglikemia, nieokreślona
R39.2;Mocznica pozanerkowa
S37.0;Uraz nerki
S35.4;Uraz naczyń krwionośnych nerki
S26.0;Uraz serca z tamponadą worka osierdziowego
S26.8;Inne urazy serca
S26.9;Uraz serca, nieokreślony
